"{""material"": ""play-doh"", ""start_method"": ""centroid-2d"", ""end_method"": ""target"", ""enable_shrink"": false, ""side_shrink"": false, ""termination_condition"": ""time"", ""termination_value"": 300.0, ""log_dir"": ""./logs/exp01"", ""z_above"": 0.15812, ""disable_robot"": false, ""visual_output"": true, ""visual_wait"": false, ""start_time"": 1652576626.1780548, ""target_shape"": {""type"": ""circle"", ""params"": {""center"": [362, 222], ""radius"": 51}}, ""preparation_time"": 0.6221928596496582}"
Iteration,Time (s),IoU,Max dough height (m),Dough height at S (m)
0,1.1951003074645996,0.2883885965985562,0.01848090391806667,0.01728794401458067
1,8.140302181243896,0.3452832497247033,0.019604504340773876,0.016056290115469718
2,15.06841254234314,0.02888086642599278,0.01948494734773487,0.012822938198164269
3,22.119121551513672,0.09732649697857536,0.01609248051789247,0.011492329474804608
4,28.68477964401245,0.16277756868648852,0.014323336345541282,0.007550740362853192
5,35.62110209465027,0.18668173683714798,0.015827599419094618,0.007527256283147321
6,42.57188844680786,0.21002544049750307,0.014927883223088911,0.005388655095720618
7,49.511781215667725,0.22519981194170194,0.016702616960281302,0.005469989783004947
8,56.494871377944946,0.23695345557122707,0.013459570087793638,0.00544027969264782
9,63.43342709541321,0.2503991734760965,0.013753350549931653,0.005385836128699362
10,70.37737274169922,0.2618823971444674,0.014151024425352765,0.004374052388674388
11,77.32085299491882,0.2711991736313269,0.016702616960281302,0.0036039643495372475
12,84.2499349117279,0.2805417097714662,0.013728511493301787,0.004697102634639405
13,91.176105260849,0.29054117647058825,0.01371566309408212,0.0032348939156050527
14,96.33830094337463,0.2908062234794908,0.013728511493301787,0.004351627276047876
15,101.41242814064026,0.28910443544589887,0.013703672410691592,0.003463209481538887
16,106.53905916213989,0.28696635566864576,0.013753350549931653,0.003993739611739655
17,111.64114189147949,0.29030434372938846,0.016237349167415926,0.00518456239732179
18,118.62628555297852,0.3019294117647059,0.015703826449946612,0.003301434547212989
19,162.9670913219452,0.30970782280867104,0.016003594032046764,0.0037615262539125727
