"{""material"": ""play-doh"", ""start_method"": ""centroid-2d"", ""end_method"": ""target"", ""enable_shrink"": true, ""termination_condition"": ""time"", ""termination_value"": 300.0, ""log_dir"": ""./logs/exp01"", ""z_above"": 0.15812, ""disable_robot"": false, ""visual_output"": true, ""visual_wait"": false, ""type"": ""circle"", ""params"": {""center"": [354, 200], ""radius"": 51}, ""preparation_time"": 0.6238620281219482}"
Iteration,Time (s),IoU,Dough height at S (m),Max dough height (m)
0,1.2000725269317627,0.319955952526612,0.017414454369936938,0.018716705586472537
1,8.148725271224976,0.3885965985562217,0.012622598759690073,0.021268491789635302
2,15.073780536651611,0.4048696928912272,0.013215785545221737,0.02028098195751138
3,22.02918243408203,0.42175455768995473,0.012080485148460274,0.01883552549645806
4,28.94946813583374,0.437660589746727,0.011537502996957216,0.017717313211531915
5,35.86941123008728,0.45674782821485377,0.01294315021788417,0.018484298744778194
6,42.799028396606445,0.489049308699376,0.009496336309826048,0.015961563743494778
7,49.720990896224976,0.49210816101798605,0.011068530839422164,0.017037110672634692
8,56.666680574417114,0.49687997063501776,0.009680351972148893,0.01716597279022325
9,63.63050699234009,0.5049553407561483,0.010544016435273473,0.015944578114294616
10,70.59125113487244,0.5350544475712713,0.008268578029534956,0.015059251913659422
11,77.52032446861267,0.5514498959990212,0.008009453690579038,0.016087243093540926
12,84.43320655822754,0.5491251682368775,0.009461290137685152,0.015059251913659422
13,91.35521125793457,0.5606264529548514,0.009242208445428668,0.017154945226578677
14,98.28006291389465,0.5608711611403402,0.008631442310608639,0.01610422848139581
15,105.20220756530762,0.5699253640034259,0.008298288119891972,0.015960713350302802
16,112.13184881210327,0.5908479138627187,0.009661673940195459,0.013917761521025973
17,119.06922626495361,0.5964762021289612,0.007462860253023451,0.016088268011596907
18,125.9959831237793,0.6116481096292671,0.006442215919955863,0.015927592726765027
19,132.91425681114197,0.618010522451976,0.007107485192102692,0.014911231127483382
20,139.82656812667847,0.6221705616052857,0.008509524798788415,0.015059251913659422
21,146.7467782497406,0.6257188302948734,0.007582512791275753,0.016760719388536738
22,153.6717894077301,0.6476202128961214,0.006788770103419495,0.015961563743494778
23,160.5877068042755,0.6571638321301847,0.0077464453753463,0.015054992413795598
24,167.5082070827484,0.6596109139850728,0.005762254713343684,0.014892056514098861
25,174.42462158203125,0.6632815367674049,0.005181198668880782,0.01593183345528526
26,181.33546233177185,0.6673192218279701,0.007024716726303337,0.016918426942847176
27,188.2509822845459,0.6711121987030466,0.0067248441964103955,0.016820084993381057
28,195.16976952552795,0.6760063624128227,0.00659527209803612,0.015054992414055834
29,202.09826827049255,0.6990089318487703,0.004258045577240077,0.014911231127483382
30,209.06558179855347,0.6992536400342592,0.006701169689898423,0.016416700881964896
31,215.9886610507965,0.7046372201150128,0.005113102279753701,0.016918427425147264
32,222.9220838546753,0.7231126881194176,0.005091980092214787,0.016922671614232332
33,229.84416699409485,0.7289856845711489,0.007127979735774281,0.017587461016577488
34,236.75489783287048,0.7365716383213019,0.005066167793751131,0.01591514276811834
35,243.67952394485474,0.7404869692891227,0.00639882427220384,0.016914182512351883
36,250.62161993980408,0.7844764461801318,0.005051748549510515,0.01638776444838186
37,257.55980467796326,0.8047828208882382,0.0036739022385795517,0.016544558340551352
38,264.47478699684143,0.8100756282020005,0.005823934665013519,0.01631824680477023
39,271.39100790023804,0.8163315051797684,0.0051935822423810896,0.01581549743276056
40,278.3157274723053,0.8201658132162887,0.004453244009186785,0.016795499264864455
41,285.2494330406189,0.8229915884432525,0.0024357518285674784,0.016914182512091647
42,292.1664807796478,0.827199610041433,0.0058969055496950196,0.016795499264864455
43,299.08585000038147,0.8296783625730995,0.003632649913580477,0.01478788071348669
44,305.9919641017914,0.8331506515649738,0.004484032924416126,0.016795499264864455
