"{""material"": ""play-doh"", ""start_method"": ""highest-point"", ""end_method"": ""current"", ""enable_shrink"": false, ""side_shrink"": false, ""termination_condition"": ""time"", ""termination_value"": 300.0, ""log_dir"": ""./logs/exp02"", ""z_above"": 0.15812, ""disable_robot"": false, ""visual_output"": true, ""visual_wait"": false, ""start_time"": 1652599674.5375829, ""target_shape"": {""type"": ""circle"", ""params"": {""center"": [358, 218], ""radius"": 57}}, ""preparation_time"": 0.6191813945770264}"
Iteration,Time (s),IoU,Max dough height (m),Dough height at S (m)
0,1.20751953125,0.2425164392972814,0.017382522728792482,0.017382522728792482
1,8.156382322311401,0.24693296692511532,0.017825694382023527,0.017825694382023527
2,15.072492361068726,0.2746098733928747,0.018371558889576978,0.018371558889576978
3,21.98471474647522,0.28550397487486506,0.01658879810827807,0.01658879810827807
4,28.910192728042603,0.3040533909117676,0.01610902571709716,0.01610902571709716
5,35.838462352752686,0.3117087054666797,0.013982218301850757,0.013982218301850757
6,42.77531361579895,0.32584159387574835,0.01229463646018869,0.01229463646018869
7,49.714306354522705,0.35479438610265973,0.013327261676753133,0.013327261676753133
8,56.6262640953064,0.3537147904603003,0.014304231378897025,0.014304231378897025
9,63.53844857215881,0.3592109137304937,0.013199082970166032,0.013199082970166032
10,70.44883298873901,0.36578663264304645,0.010999311418731783,0.010999311418731783
11,77.39583396911621,0.3749141230739032,0.012252760166666765,0.012252760166666765
12,84.3335313796997,0.39542644027873197,0.011492354489364809,0.011492354489364809
13,91.24707460403442,0.39218765335165373,0.010698983483122149,0.010698983483122149
14,98.18352246284485,0.40857787810383744,0.009977705104651569,0.009977705104651569
15,105.123042345047,0.41407400137403083,0.008603339877191751,0.008603339877191751
16,112.05259943008423,0.4192756894690352,0.009963898270309857,0.009963898270309857
17,118.97397041320801,0.4290901953086662,0.010001864225064439,0.010001864225064439
18,125.89613771438599,0.43772696044754145,0.010865454291457577,0.010865454291457577
19,132.81247758865356,0.4408676023162234,0.011959134628098611,0.011959134628098611
20,139.73440432548523,0.4585337128275591,0.011817753559523858,0.011817753559523858
21,146.6557698249817,0.457552262243596,0.010201818151889475,0.010201818151889475
22,153.57789206504822,0.45745411718519974,0.01058746400435373,0.01058746400435373
23,160.49767017364502,0.461674354696241,0.008486235630467798,0.008486235630467798
24,167.43303847312927,0.468642653842379,0.011506736436159293,0.011506736436159293
25,174.36602306365967,0.47914417509078416,0.00958507420805299,0.00958507420805299
26,181.32096195220947,0.48660319952890374,0.008505200998835338,0.008505200998835338
27,188.25506234169006,0.4904308568063598,0.01016259462528657,0.01016259462528657
28,195.1661856174469,0.49308077338306017,0.008490562952662817,0.008490562952662817
29,202.09839534759521,0.511728334478359,0.010429258096968375,0.010429258096968375
30,209.03607535362244,0.5235057414859162,0.008480235217861343,0.008480235217861343
31,215.95562434196472,0.5259593679458239,0.008161631204095965,0.008161631204095965
32,222.8850588798523,0.5295907351064874,0.008479373156419778,0.008479373156419778
33,229.80279660224915,0.5402885464716851,0.009593680246329117,0.009593680246329117
34,236.76286029815674,0.5425458828148003,0.010157496451781323,0.010157496451781323
35,243.69659686088562,0.5608990087349102,0.00646289032212799,0.00646289032212799
36,250.61199235916138,0.5606045735597213,0.008482821404267704,0.008482821404267704
37,257.5318412780762,0.5625674747276475,0.007121046076540849,0.007121046076540849
38,264.44322872161865,0.5673765825890666,0.00929332039424191,0.00929332039424191
39,271.36865067481995,0.5732652860928452,0.0076053029573251996,0.0076053029573251996
40,278.2857758998871,0.5722838355088822,0.008480235217861343,0.008480235217861343
41,285.2133858203888,0.5900480910786142,0.010715973727344785,0.010715973727344785
42,292.13069438934326,0.6109529885170282,0.008512959562217759,0.008512959562217759
43,299.05638551712036,0.5871037393267249,0.011205416771308596,0.011205416771308596
44,305.9629304409027,0.6050642850132496,0.008447519261464365,0.008447519261464365
