"{""material"": ""play-doh"", ""start_method"": ""highest-point"", ""end_method"": ""target"", ""enable_shrink"": true, ""side_shrink"": false, ""termination_condition"": ""time"", ""termination_value"": 300.0, ""log_dir"": ""./logs/exp03"", ""z_above"": 0.15812, ""disable_robot"": false, ""visual_output"": true, ""visual_wait"": false, ""start_time"": 1652611583.7464755, ""target_shape"": {""type"": ""circle"", ""params"": {""center"": [360, 200], ""radius"": 44}}, ""preparation_time"": 0.6186637878417969}"
Iteration,Time (s),IoU,Max dough height (m),Dough height at S (m)
0,1.200202465057373,0.39707092315287146,0.018852982111152827,0.018852982111152827
1,8.142436742782593,0.4293236794470956,0.018513178477212122,0.018513178477212122
2,17.558648109436035,0.4786901431627448,0.018730265202465346,0.018730265202465346
3,24.498194932937622,0.5017278262300477,0.01647027835801862,0.01647027835801862
4,31.421592473983765,0.5107783445779167,0.013975742367781985,0.013975742367781985
5,38.351035356521606,0.5313477044594372,0.014320980082092039,0.014320980082092039
6,45.27430272102356,0.5298667105479677,0.014692061041392201,0.014692061041392201
7,52.20820689201355,0.5484614118808623,0.014325246631737731,0.014325246631737731
8,59.13880491256714,0.5660687839394438,0.013300168265155898,0.013300168265155898
9,66.05739521980286,0.5928912292249465,0.012859993251788993,0.012859993251788993
10,72.98921751976013,0.5922330097087378,0.013578049179794105,0.013578049179794105
11,79.91064786911011,0.6078657232186935,0.011096528780675796,0.011096528780675796
12,86.85182690620422,0.6347640190758099,0.015212428901365982,0.015212428901365982
13,93.77701878547668,0.6419529837251357,0.012078445341117017,0.012078445341117017
14,100.70236086845398,0.6549967126890204,0.0098071839069801,0.0098071839069801
15,107.63313579559326,0.6511436564094125,0.013854543766647631,0.013854543766647631
16,114.55476355552673,0.6673234811165846,0.012050344947833636,0.012050344947833636
17,121.48580193519592,0.6669403842995566,0.01107049573285801,0.01107049573285801
18,128.41890382766724,0.6677069645203679,0.01317639523572034,0.01317639523572034
19,135.33149123191833,0.6798950475565759,0.012058785972040686,0.012058785972040686
20,142.26963686943054,0.686709380647281,0.013180669081242158,0.013180669081242158
21,149.19464421272278,0.7032660430001642,0.01317212139097923,0.01317212139097923
22,156.1189775466919,0.7021311475409836,0.013056895931231605,0.013056895931231605
23,163.04736185073853,0.7101900393184797,0.011881996493137481,0.011881996493137481
24,169.97045755386353,0.7125102207686018,0.01317639523572034,0.01317639523572034
25,176.91936254501343,0.7163109010917387,0.013279917893251336,0.013279917893251336
26,183.82632756233215,0.7120616191412652,0.013721490498684652,0.013721490498684652
27,190.75917506217957,0.7225848563968669,0.014617535011433036,0.014617535011433036
28,197.682719707489,0.7198952879581152,0.011087951918292815,0.011087951918292815
29,204.60599541664124,0.7261032405145742,0.010947494440896488,0.010947494440896488
30,211.51731848716736,0.7324012355714518,0.014060203791000814,0.014060203791000814
31,218.4267885684967,0.7204756474995928,0.016112732411299624,0.016112732411299624
32,225.3659942150116,0.7277768716359485,0.010052069331179303,0.010052069331179303
33,232.30216240882874,0.7339853300733497,0.010947494440896488,0.010947494440896488
34,239.22418355941772,0.7412654966994043,0.012610979585600757,0
35,246.13668036460876,0.7425024185746534,0.01272245210281997,0
36,253.04804611206055,0.739214735821619,0.012727583633506678,0.012727583633506678
37,259.9695222377777,0.7475120385232745,0.012942525481582368,0
38,266.88320994377136,0.7412564766839378,0.011186370515464672,0.011186370515464672
39,273.79502296447754,0.7447462010992564,0.01293825163658091,0
40,280.7100501060486,0.7497573600776448,0.01127430195517587,0.01127430195517587
41,287.6465799808502,0.7528486599261756,0.010042618253747748,0.010042618253747748
42,294.54536604881287,0.7608,0.010856714836325554,0
43,301.47896790504456,0.7507672427717654,0.009927662438872997,0.009927662438872997
